,gxmax,gxmin,gxvar,gymax,gymin,gzvar,gzmax,gzmin,gzvar,label
70,250.8639664,-268.5582408,1149.576097,200.5875421,-366.3389556,1861.651319,224.2177347,-92.58802146,1861.651319,0
71,317.9819489,-345.0611868,2023.083711,224.5132509,-331.4339272,3280.901859,383.4598169,-99.44772116,3280.901859,1
72,220.0727206,-266.8135999,1536.238378,186.599151,-373.114047,4122.495187,493.133152,-114.0939453,4122.495187,1
73,210.4374178,-223.5976861,964.9010614,183.9165129,-324.9208538,1815.227479,191.1916961,-112.334778,1815.227479,0
74,248.2800849,-258.0127805,1004.674141,204.3209949,-332.0785403,1941.132224,242.5850675,-97.39765004,1941.132224,0
75,287.6066346,-282.1962293,1246.606556,220.548528,-369.576911,1928.208797,249.2474213,-119.4123747,1928.208797,1
76,177.5268412,-266.2447713,1133.126495,213.4449056,-366.9875154,3008.813975,395.7322591,-110.0542246,3008.813975,0
77,203.0982354,-220.2095545,768.8810835,192.9759097,-349.7090913,1519.240398,194.1162663,-120.3179684,1519.240398,1
78,282.8089935,-368.9292797,1529.740492,241.7419072,-370.1586952,3097.541629,445.5579693,-104.3502094,3097.541629,1
79,168.8574048,-215.0678683,812.094381,231.0460433,-335.5823731,1643.914916,226.495221,-89.08265665,1643.914916,0
80,192.3050727,-331.2884786,778.7995701,249.2448109,-335.2186448,2118.468508,259.1745162,-101.8275301,2118.468508,1
81,227.6893908,-381.5737878,1201.528071,239.9395004,-388.8619047,1308.405979,173.3695574,-98.89980071,1308.405979,1
82,189.8149754,-258.7434209,825.5082172,206.687284,-343.3104792,1555.105903,194.9486776,-88.20042706,1555.105903,0
83,246.0797776,-258.0100267,1276.861398,250.6676354,-349.7770388,2524.384842,281.8902444,-106.6932449,2524.384842,1
84,250.5041239,-277.425073,1418.50968,283.5486884,-417.4496117,2502.140397,274.3510064,-145.0965348,2502.140397,0
85,368.3528087,-804.3867247,5950.051255,316.0767696,-583.8048133,3229.914937,375.6712754,-186.4139755,3229.914937,0
86,251.2262762,-174.426704,1093.94474,221.2834144,-356.2605037,2089.81775,246.5168706,-92.07787389,2089.81775,1
87,405.418333,-476.0590971,2815.546585,305.8590881,-537.4293797,2226.721593,252.6863991,-119.575381,2226.721593,0
88,113.2670189,-517.6481297,1565.005594,161.6702997,-272.2417423,2473.71159,360.5139722,-69.51706265,2473.71159,0
89,258.2731658,-301.8804779,1016.480452,226.5611914,-332.6329293,1945.317873,241.5750929,-104.7146764,1945.317873,1
90,204.5999953,-228.086018,923.4427771,158.7881883,-388.2267075,1800.434251,233.5406094,-75.45928136,1800.434251,0
91,277.4773,-374.5711883,1463.416645,159.7081056,-397.1972219,2951.290863,396.010574,-79.96682315,2951.290863,0
92,236.5194832,-331.5908045,1346.048548,197.4291041,-388.4784958,3309.187801,455.7942107,-95.86924909,3309.187801,1
93,150.51001,-292.1109334,1108.721957,213.8763139,-335.656398,3453.757395,445.8823932,-99.58153468,3453.757395,1
94,257.1674135,-345.8608706,1085.799154,233.1641883,-374.2366048,2012.420247,242.6788999,-117.1315191,2012.420247,0
95,252.8637927,-262.6917056,1070.399745,196.0244728,-378.52915,1901.013228,218.6576662,-93.14270515,1901.013228,0
96,311.6097568,-330.0935275,2024.453152,224.0415296,-340.8713202,3162.199672,389.1208132,-97.7903292,3162.199672,1
97,219.4003928,-259.9021303,1471.757741,186.6639057,-387.7270666,4126.124812,485.3121062,-113.4078488,4126.124812,1
98,213.7318868,-224.6110993,988.0192049,187.3671807,-322.3994546,1798.301541,193.3594327,-120.0198125,1798.301541,0
99,260.282538,-253.3281846,953.1293962,199.0489057,-326.1729349,1902.14789,238.2688586,-91.22539333,1902.14789,0
100,309.482354,-277.0007801,1260.706923,217.1797789,-374.5458523,1985.623367,247.2230133,-117.6680732,1985.623367,1
101,182.5295759,-269.3201202,1162.358371,210.1940333,-346.6869609,3011.820794,372.6902457,-110.4090254,3011.820794,0
102,200.3323364,-210.8386458,762.2119763,198.634245,-335.9000127,1544.606776,199.6339588,-120.4119812,1544.606776,1
103,287.5924624,-369.0288075,1534.89436,241.5187336,-366.1344555,3203.051723,415.0889908,-102.2743827,3203.051723,1
104,161.5123206,-224.1077868,831.1173712,238.9701768,-332.3375056,1605.227988,225.3998926,-89.34226866,1605.227988,0
105,186.6496081,-331.9569398,770.8481143,250.8425686,-342.7581432,2104.804665,255.461992,-103.8340237,2104.804665,1
106,222.1033221,-392.9600009,1200.952525,247.8205697,-370.1512615,1298.625838,171.9531065,-99.30221212,1298.625838,1
107,197.6136486,-267.9221635,856.1294585,202.259045,-338.6294474,1537.705101,201.2088223,-88.48146174,1537.705101,0
108,251.5539819,-265.3430174,1272.805384,267.681216,-363.9331242,2493.610183,285.8758807,-100.7028611,2493.610183,1
109,245.1574893,-278.0336257,1399.808341,288.0868116,-411.4423731,2558.738245,290.7174011,-143.9969048,2558.738245,0
110,372.3085726,-803.3470797,5950.718005,314.1906919,-587.1063778,3295.795461,367.7586087,-180.0439097,3295.795461,0
111,245.1757861,-171.9998138,1041.887174,224.6005131,-352.9290924,2059.852055,253.5357964,-93.92668567,2059.852055,1
112,407.7147745,-469.0530204,2954.800719,306.0884273,-567.64109,2181.393588,249.6228468,-123.8979835,2181.393588,0
113,116.0308178,-496.1170223,1591.815114,158.7891979,-270.4521706,2505.466187,364.4711422,-74.86378208,2505.466187,0
114,250.9466629,-302.9578481,1056.456831,223.3522815,-335.8314336,2032.889662,236.1483278,-103.535484,2032.889662,1
115,204.3065844,-240.5428546,904.8849647,162.4129809,-374.4086194,1865.958858,240.4174037,-74.91398705,1865.958858,0
116,292.6585105,-373.8467134,1421.571471,155.7483015,-393.4038185,2858.845351,385.3914135,-79.74829385,2858.845351,0
117,243.8601312,-350.8632236,1372.938506,193.1464167,-383.4440251,3226.567746,456.3907024,-98.56370065,3226.567746,1
118,151.975525,-302.2246891,1107.404021,205.9996142,-333.3972904,3276.003203,454.3915314,-99.83157546,3276.003203,1
119,252.6305538,-337.1921878,1081.65331,249.6099052,-369.4409604,2016.66484,241.3628633,-121.3153242,2016.66484,0
120,254.0759501,-249.4997517,1108.553785,196.4363095,-371.20647,1783.479111,216.4972046,-92.84254517,1783.479111,0
121,317.126431,-344.1656661,2044.251914,219.0464852,-335.7743853,3240.199988,392.6488104,-101.5769488,3240.199988,1
122,221.7758902,-248.1269519,1508.720507,185.08213,-374.0405583,4185.499039,492.1799146,-111.6059714,4185.499039,1
123,212.7680239,-225.969356,955.1075836,183.6258739,-324.5134621,1858.588595,193.8266047,-121.3252543,1858.588595,0
124,241.5363264,-258.8971801,1036.105733,199.142397,-315.8564215,2026.994319,235.4440702,-93.68725657,2026.994319,0
